m_z,A
27.0,3.5
38.0,1.2
39.0,8.0
41.0,1.3
50.0,4.0
51.0,8.6
52.0,3.4
53.0,2.8
62.0,1.6
63.0,4.7
65.0,5.6
74.0,1.3
77.0,11.9
78.0,5.8
79.0,7.1
89.0,1.9
91.0,100.0
92.0,7.5
102.0,1.1
103.0,5.9
104.0,2.9
105.0,28.9
106.0,65.9
107.0,5.8

