m_z,A
27.0,2.6
38.0,1.4
39.0,6.1
50.0,7.3
51.0,16.8
52.0,6.6
53.0,1.0
62.0,1.6
63.0,4.8
65.0,1.4
74.0,3.1
75.0,2.4
76.0,3.5
77.0,17.4
78.0,35.0
79.0,2.3
89.0,1.7
102.0,6.1
103.0,40.7
104.0,100.0
105.0,8.9
