m_z,A
27.0,3.7
28.0,1.2
39.0,5.6
41.0,3.4
50.0,2.9
51.0,9.3
52.0,2.6
53.0,1.2
63.0,2.4
65.0,2.5
74.0,1.0
76.0,1.0
77.0,13.7
78.0,5.5
79.0,11.9
91.0,5.8
102.0,1.1
103.0,7.4
104.0,2.8
105.0,100.0
106.0,9.0
115.0,1.0
119.0,1.0
120.0,26.6
121.0,2.6
