m_z_diff,charge,name
-97.065888525,1,\[M+H-COCH2-C_4H_8\]^{+}
-73.077121899,1,\[M+H-NH_3-NH_3-C_3H_4\]^{+}
-91.040067715,1,\[M+H-C_2H_4O_2-CH_3OH\]^{+}
-89.060803155,1,\[M+H-C_3H_6O-CH_3OH\]^{+}
-156.066616822,1,\[M+H-NH_3-CO-COCH_2-C_4H_6O\]^{+}
-71.050238455,1,\[M+H-C_4_H6-H_2O\]^{+}
-81.070973895,1,\[M+H-C_4H_6-C_2H_4\]^{+}
-88.076787562,1,\[M+H-C_4H_6-NH_3-H_2O\]^{+}
-95.050238455,1,\[M+H-C_4H_6-COCH2\]^{+}
-123.081538595,1,\[M+H-C_4H_6-C_4H_6O\]^{+}
-109.065888525,1,\[M+H-C_3H_4O-C_4H_6\]^{+}
-143.071367855,1,\[M+H-C3_H_4O-C_4H_8O_2\]^{+}
-109.102274035,1,\[M+H-C_4H_8-C_4H_6\]^{+}
-94.050966752,1,\[M+H-NH_3-HCOOH-CH_3OH\]^{+}
-46.066222862,1,\[M+H-NH_3-C_2H_6\]^{+}
-148.076787562,1,\[M+H-NH_3-C_8H_6O-CH_2\]^{+}
-98.061137492,1,\[M+H-NH_3-C_3H_4-COCH_2\]^{+}
-58.066222862,1,\[M+H-C_3H_9N\]^{+}
-118.087352262,1,\[M+H-C_3H_9N-C2H4O2\]^{+}
-175.0248,1,\[M+H-gluc\]^{+}
-193.0354,1,\[M+H-gluc+H_2O\]^{+}
-211.0459,1,\[M+H-gluc-(H_2O)_2\]^{+}
-229.0565,1,\[M+H-gluc-(H_2O)_3\]^{+}
-257.0514,1,\[M+H-gluc-(H_2O)_3-CO\]^{+}
-53.02442,1,\[M+H-(H_2O))3\]^{+}
-81.01933,1,\[M+H-(H_2O))3-CO\]^{+}
-130.0874,1,\[M+H-Leu\]^{+}
-116.0717,1,\[M+H-Val\]^{+}
-45.98827,1,\[M+H-CH_3S\]^{+}
-117.0346,1,\[M+H-phenylacetyl\]^{+}
-161.045553545,1,\[M+H-Hexose-H_2O\]^{+}
-177.076877225,1,\[M+H-Hexose-H_2O-CH4\]^{+}
-193.071791855,1,\[M+H-Hexose-H_2O-CH3OH\]^{+}
-205.071791855,1,\[M+H-Hexose-H_2O-C2H4O\]^{+}
-221.06670649,1,\[M+H-Hexose-H_2O-C2H4O2\]^{+}
